ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,UPC,Product Type,Configuration,Additional Handset Telephones Supported,Frequency,Standby Power (W),Off Mode Power (W),External Proxy Capability,Physical Data Ports,Low Power Wireless Technologies,Gigabit Ethernet Ports,Fast Ethernet Ports,Energy Efficient Ethernet - Gigabit,Energy Efficient Ethernet - Fast,Display Resolution (pixels),Power Over Ethernet Class,External Power Supply,Date Available On Market,Date Qualified,Markets,CB Model Identifier
2229646,"VTech Telecommunications, Ltd.",AT&T,CLP99003,CLP99003,",CLP99003,1HS+1Charger; ,CLP99283,2Handsets+1Charger; ,CLP99353,3Handsets+2Chargers; ,CLP99383,3Handsets+2Chargers; ,CLP99483,4Handsets+3Chargers; ,CLP99553,5Handsets+4Chargers; ,CLP99583,5Handsets+4Chargers; ,CLP99XY3,X Handsets +(X-1) Chargers",,Analog,Additional Handset,0,None,0.2,0,N/A,Other,None,0,0,0,0,,N/A,Yes,12/03/2014,12/12/2014,"United States, Canada",ES_1067513_CLP99003_12032014163747_6972009
2257546,"VTech Telecommunications, Ltd.",AT&T,CLP99006,CLP99006,",CLP990*6 HS,1Handset+1Charger; ,CLP990*6,1Handset+1Charger; ,CLP990*7 HS,1Handset+1Charger; ,CLP990*7,1Handset+1Charger; ,CLP99006 HS,1Handset+1Charger; ,CLP99006,1Handset+1Charger; ,CLP99007 HS,1Handset+1Charger; ,CLP99007,1Handset+1Charger",,Analog,Additional Handset,0,None,0.2,0,N/A,Other,None,0,0,0,0,,N/A,Yes,01/05/2016,01/25/2016,"United States, Canada",ES_1067513_CLP99006_01252016095909_9975854
2257545,"VTech Telecommunications, Ltd.",AT&T,CLP99286,CLP99286,",CLP99##6,# handset(s) + 1 base (w/ ITAD) + (# - 1) chargers; ,CLP99##7,# handset(s) + 1 base (w/ ITAD) + (# - 1) chargers; ,CLP99286,2 handsets + 1 base (w/ ITAD) + 1 charger; ,CLP99287,2 handsets + 1 base (w/ ITAD) + 1 charger; ,CLP99386,3 handsets + 1 base (w/ ITAD) + 2 chargers; ,CLP99387,3 handsets + 1 base (w/ ITAD) + 2 chargers; ,CLP99456,4 handsets + 1 base (w/ ITAD) + 3 chargers; ,CLP99457,4 handsets + 1 base (w/ ITAD) + 3 chargers; ,CLP99486,4 handsets + 1 base (w/ ITAD) + 3 chargers; ,CLP99487,4 handsets + 1 base (w/ ITAD) + 3 chargers; ,CLP99546,5 handsets + 1 base (w/ ITAD) + 4 chargers; ,CLP99547,5 handsets + 1 base (w/ ITAD) + 4 chargers; ,CLP99556,5 handsets + 1 base (w/ ITAD) + 4 chargers; ,CLP99557,5 handsets + 1 base (w/ ITAD) + 4 chargers; ,CLP99586,5 handsets + 1 base (w/ ITAD) + 4 chargers; ,CLP99587,5 handsets + 1 base (w/ ITAD) + 4 chargers",,Analog,Cordless,1,None,0.8,0,N/A,Other,None,0,0,0,0,,N/A,Yes,01/05/2016,01/29/2016,"United States, Canada",ES_1067513_CLP99286_01252016095103_1343805
2508342,"VTech Telecommunications, Ltd.",AT&T,DECT 6.0 Cordless Phone,"""CRL32202,CRL32102, CRL32302, CRL32352, CRL32452, CRL30102, CLRL32#*2, CRL32##32""",,,Analog,Cordless,,None,0.91,,N/A,Other,None,0,0,0,0,,N/A,Yes,02/10/2023,06/06/2023,"United States, Canada","ES_""CRL32202,CRL32102, CRL32302, CRL32352, CRL32452, CRL30102, CLRL32#*2, CRL32##32""_06142023173524_1010101"
2511568,"VTech Telecommunications, Ltd.",AT&T,CORDLESS TELEPHONE,"CS5119-2,CS5119, CS5119-15, CS5119-16, CS511*-#*, CS511*-##, CS511#-#*, CS511#-##, CS5109, CS5109-15, CS5109-16, CS510*-#*, CS510*-##, CS510#-#*,CS510#-##",,,Analog,Cordless,,None,0.79,,N/A,Other,None,0,0,0,0,,N/A,Yes,02/14/2023,06/14/2023,"United States, Canada","ES_CS5119-2,CS5119, CS5119-15, CS5119-16, CS511*-#*, CS511*-##, CS511#-#*, CS511#-##, CS5109, CS5109-15, CS5109-16, CS510*-#*, CS510*-##, CS510#-#*,CS510#-##_06202023164823_1010101"
2511902,"VTech Telecommunications, Ltd.",AT&T,CORDLESS TELEPHONE,"CS5119-2,CS5119, CS5119-15, CS5119-16, CS511*-#*, CS511*-##, CS511#-#*, CS511#-##, CS5109, CS5109-15, CS5109-16, CS510*-#*, CS510*-##, CS510#-#*,CS510#-##",,,Analog,Cordless,,None,0.79,,N/A,Other,None,0,0,0,0,,N/A,Yes,02/14/2023,06/14/2023,"United States, Canada","ES_1067513_CS5119-2,CS5119, CS5119-15, CS5119-16, CS511*-#*, CS511*-##, CS511#-#*, CS511#-##, CS5109, CS5109-15, CS5109-16, CS510*-#*, CS510*-##, CS510#-#*,CS510#-##_06202023164823_1010101"
2508110,"VTech Telecommunications, Ltd.",AT&T,DECT 6.0 Cordless Phone,"CS5249, CS524*-#*, CS524*-##, CS524#-#*, CS524#-##","DECT 6.0 cordless telephone,CS524*-#*, CS524*-##, CS524#-#*, CS524#-##,",,Analog,Corded,,None,0.51,,N/A,Other,None,0,0,0,0,,N/A,Yes,04/14/2023,05/31/2023,United States,"ES_CL84115, CL84215, CL84265, CL84365, CL84##5_06072023165857_1010101"
2389105,"VTech Telecommunications, Ltd.",AT&T,DECT6.0 Cordless Phone with Bluetooth,DAL75211,",DAL75111, DAL75121, DAL75221, DAL75311, DAL75321, DAL75411, DAL75421, DAL75##1-#, DAL75011, DAL75021, DAL750#1-#, GL2113-1, GL2113-11, GL2113-2, GL2113-21, GL2113-3, GL2113-31, GL2113-4, GL2113-41, GL2113-###, GL2113-0, GL2113-01, GL2113-0##,",650530032967;650530032974;650530032981;650530032998;650530033032;650530033049;650530033056;650530033063;650530033124;650530033131;650530033148;650530033155;650530033162,Analog,Cordless,,Other,0.58,0,N/A,Other,Bluetooth,0,0,0,0,,N/A,Yes,09/09/2021,11/04/2021,"United States, Canada",ES_1067513_DAL75211_12102021145519_1010101
2335169,"VTech Telecommunications, Ltd.",AT&T,DL72119,DL72119,",DL72##9,#HS+1BS(W/ ITAD)+(#-1)chargers; ,DL72#*9,#HS+1BS(W/ ITAD)+(#-1)chargers; ,DL72119,1HS+1BS(W/ ITAD); ,DL72219,2HS+1BS(W/ ITAD)+1charger; ,DL72319,3HS+1BS(W/ ITAD)+2chargers; ,DL72419,4HS+1BS(W/ ITAD)+3chargers",,Analog,Cordless,1,None,0.6,0,N/A,Other,None,0,0,0,0,,N/A,Yes,02/28/2019,03/21/2019,"United States, Canada",ES_1067513_DL72119_03212019105553_8277246
2355501,"VTech Telecommunications, Ltd.",AT&T,DL72210,DL72210,",DL72##0,#HS+1BS(W/ ITAD)+(#-1)chargers; ,DL72#*0,#HS+1BS(W/ ITAD)+(#-1)chargers; ,DL72210,2HS+1BS(W/ ITAD) + 1 charger; ,DL72310,2HS+1BS(W/ ITAD)+1 chargers; ,DL72340,3HS+1BS(W/ ITAD)+2 chargers; ,DL72350,3HS+1BS(W/ ITAD)+2 chargers",,Analog,Cordless,1,None,0.7,0,N/A,Other,None,0,0,0,0,,N/A,Yes,01/21/2020,02/03/2020,"United States, Canada",ES_1067513_DL72210_01232020114807_6660882
2516623,"VTech Telecommunications, Ltd.",AT&T,DECT 6.0 cordless telephone,"""DL72310, DL72210, DL72340, DL72350, DL72#*0, DL72##0, DL70010, DL70020, DL700*0, DL700#0 """,,,Analog,Cordless,,None,0.61,,N/A,Other,None,0,0,0,0,,N/A,Yes,02/14/2023,06/21/2023,"United States, Canada","ES_1067513_""DL72310, DL72210, DL72340, DL72350, DL72#*0, DL72##0, DL70010, DL70020, DL700*0, DL700#0 ""_06212023175914_1010101"
3022741,ALE International,Alcatel-Lucent Enterprise,ALE Deskphones Gamme Essential,"ALE-30h, ALE-20, ALE-20h",,,Voice over Internet Protocol (VoIP),Corded,,None,1.146,,N/A,Other,None,1,0,0,0,,N/A,No,11/16/2023,12/12/2023,"United States, Canada","ES_1147834_ALE-30h, ALE-20, ALE-20h_12192023000000_1151695"
3014739,ALE International,Alcatel-Lucent Enterprise,ALE Deskphones Enterprise range,"ALE-500, ALE-300, ALE-400",,,Voice over Internet Protocol (VoIP),Corded,1,"IEEE 802.11g, 2.4 GHz,IEEE 802.11n, 5 GHz,IEEE 802.11a, 5 GHz,IEEE 802.11b, 2.4 GHz,IEEE 802.11n, 2.4 GHz",2.039,,N/A,Universal Serial Bus (USB),Bluetooth,2,0,0,0,,Class 1,No,11/16/2023,12/12/2023,"United States, Canada","ES_1149584_ALE-500, ALE-300, ALE-400_12202023161308_6379242"
3012738,ALE International,Alcatel-Lucent Enterprise,ALE DeskPhones Basic range,H6W; ALE-2; H3P; H3G; ALE-3; H6; H3W; ALE-3W,,,Voice over Internet Protocol (VoIP),Corded,1,"IEEE 802.11g, 2.4 GHz,IEEE 802.11b, 2.4 GHz,IEEE 802.11n, 2.4 GHz",1.813,,N/A,Universal Serial Bus (USB),None,1,0,0,0,,Class 1,No,11/21/2023,12/12/2023,"United States, Canada",ES_1149584_H6W; ALE-2; H3P; H3G; ALE-3; H6; H3W; ALE-3W_12202023000000_1512351
3361106,Avaya Inc,Avaya,J129 IP Phone,J129,,,Voice over Internet Protocol (VoIP),Corded,0,None,1.16,,N/A,Other,None,0,2,0,1,,Class 1,Yes,01/01/2024,01/15/2024,"United States, Canada",ES_3385_J129_01152024222434I35_1126158
2321956,Avaya Inc,Avaya,J139,J139,,,Voice over Internet Protocol (VoIP),Corded,,None,1.55,1.55,N/A,Other,None,1,0,0,0,,Class 1,Yes,07/10/2018,06/28/2018,"United States, Canada",ES_3385_J139_06282018124514_8332137
2353992,Avaya Inc,Avaya,J159,J159,,,Voice over Internet Protocol (VoIP),Corded,0,None,2.04,0,N/A,Other,None,1,0,0,0,,Class 1,Yes,01/17/2020,01/17/2020,"United States, Canada",ES_3385_J159_01222020100415_4563267
2320639,Avaya Inc,Avaya,J179,J179,"J169,J169,",,Voice over Internet Protocol (VoIP),Corded,,None,1.85,,N/A,Other,None,1,0,0,0,,Class 1,Yes,04/24/2018,05/30/2018,"United States, Canada",ES_3385_J179_05312018083152_2004264
2362588,Avaya Inc,Avaya,J189 IP Phone,J189,,,Voice over Internet Protocol (VoIP),Corded,0,None,1.92,0,N/A,Other,None,1,0,0,0,,Class 2,Yes,07/09/2020,07/09/2020,"United States, Canada",ES_3385_J189_07092020172403_7546466
2217373,Cisco Systems,CISCO,8861,8861,",8861,1 Corded Base + 1 Handset",,Voice over Internet Protocol (VoIP),Corded,0,None,3.5,0.21,Not Supported,Universal Serial Bus (USB),None,2,2,0,0,800 x 480,Class 4,No,05/30/2014,05/22/2014,"United States, Canada",ES_21829_CP-8861_08142014132650_9043237
2327232,Cisco Systems,CISCO,CP-6821,CP-6821,,,Voice over Internet Protocol (VoIP),Corded,,None,1.896,,Not Supported,Other,None,2,0,0,0,,N/A,Yes,10/10/2018,10/10/2018,"United States, Canada",ES_21829_CP6821_09282018091830_5085922
2306858,Cisco Systems,CISCO,CP-6841,CP-6841,,,Voice over Internet Protocol (VoIP),Corded,0,None,1.2,0.1,N/A,Other,None,2,0,0,0,,N/A,Yes,11/24/2017,11/27/2017,"United States, Canada",ES_21829_CP-6841_11272017110347_572625
2306859,Cisco Systems,CISCO,CP-6851,CP-6851,,,Voice over Internet Protocol (VoIP),Corded,0,None,1.3,0.4,N/A,Other,None,2,0,0,0,,Class 2,Yes,11/24/2017,11/27/2017,"United States, Canada",ES_21829_CP-6851_11272017111833_3293725
2339464,Cisco Systems,CISCO,CP-6861,CP-6861,,,Voice over Internet Protocol (VoIP),Corded,,None,1.27,,N/A,Other,None,1,10100,0,0,320 x 120,N/A,Yes,07/17/2019,06/07/2019,"United States, Canada",ES_21829_CP-6861_06072019133526_6500151
2348909,Cisco Systems,CISCO,UC Phone,CP-6871,,,Voice over Internet Protocol (VoIP),Corded,,None,1.28,,Not Supported,Universal Serial Bus (USB),Other,2,0,2,0,,Class 3,Yes,11/05/2019,10/23/2019,"United States, Canada",ES_21829_CP-6871_10232019145228_4240915
2348910,Cisco Systems,CISCO,UC Phone,CP-6871,,,Voice over Internet Protocol (VoIP),Corded,,None,1.28,,Not Supported,RS-232,Other,2,0,2,0,,Class 3,Yes,11/05/2019,10/23/2019,"United States, Canada",ES_21829_CP-6871_10232019145228_5975215
2234801,Cisco Systems,CISCO,CP-7811,CP-7811,",CP-7811,NA",,Voice over Internet Protocol (VoIP),Corded,0,None,1.3,0,Not Supported,Other,None,0,2,0,0,,Class 1,Yes,03/12/2015,03/12/2015,"United States, Canada",ES_21829_CP-7811_03162015164229_7154199
2287117,Cisco Systems,CISCO,CP-7832,CP-7832,,,Voice over Internet Protocol (VoIP),Conference,,None,1.695,0.48,N/A,Other,None,0,1,0,0,,Class 2,No,01/30/2017,12/23/2016,"United States, Switzerland, Taiwan, Japan, Canada",ES_21829_CP-7832_12272016055202_7922892
2217371,Cisco Systems,CISCO,CP-7841,CP-7841,"CP-7841,,1 Corded Base (With 4 line keys) + 1 Handset",,Voice over Internet Protocol (VoIP),Corded,0,None,2,0.21,Not Supported,Other,None,2,2,0,0,,Class 1,No,05/15/2014,05/15/2014,United States,ES_21829_CP-7841_08142014131328_7826501
2406093,Cisco Systems,CISCO,CP-7861,CP-7861,",CP-7821,",882658621857,Voice over Internet Protocol (VoIP),Corded,0,None,1.5,0.21,Not Supported,Other,None,0,2,0,0,,Class 1,No,05/15/2014,12/20/2022,United States,ES_21829_CP-7861_12132022103432_7210657
2217372,Cisco Systems,CISCO,CP-8851,CP-8851,",CP-8811,1 Corded Base + 1 Handset; ,CP-8841,1 Corded Base + 1 Handset; ,CP-8851,1 Corded Base + 1 Handset; ,CP-8851NR,1 Corded Base + 1 Handset",,Voice over Internet Protocol (VoIP),Corded,0,None,3.3,0.21,Not Supported,Universal Serial Bus (USB),None,2,2,0,0,800 x 480,Class 3,No,05/30/2014,05/23/2014,"United States, Canada",ES_21829_CP-8851_08142014132545_447351
2234800,Cisco Systems,CISCO,CP-8851NR,CP-8851NR,",CP-8851NR,NA",,Voice over Internet Protocol (VoIP),Corded,0,None,3.3,0.21,Not Supported,Universal Serial Bus (USB),None,2,2,0,0,800 x 480,Class 3,No,03/12/2015,03/17/2015,United States,ES_1067513_CP-8851NR_03132015102339_6277429
3423293,Cisco Systems,CISCO,UC Phone,DP-9841,,,Voice over Internet Protocol (VoIP),Corded,,None,1.43,0.54,N/A,Universal Serial Bus (USB),None,2,0,0,0,,Class 2,Yes,04/29/2024,03/21/2024,"United States, Canada",ES_21829_DP-9841_03222024091949_2838608
3423285,Cisco Systems,CISCO,UC Phone,DP-9851,,,Voice over Internet Protocol (VoIP),Corded,0,None,1.99,0.6,N/A,Universal Serial Bus (USB),None,2,0,0,0,,Class 3,Yes,04/29/2024,03/21/2024,"United States, Canada",ES_21829_DP-9851_03222024101240_7755892
3542818,Cisco Systems,CISCO,DP-9861,DP-9861,"DP-9861NR,DP-9861NR,",,Voice over Internet Protocol (VoIP),Corded,,"IEEE 802.11g, 2.4 GHz,IEEE 802.11n, 5 GHz,IEEE 802.11a, 5 GHz,IEEE 802.11ac, 5 GHz,IEEE 802.11b, 2.4 GHz,IEEE 802.11n, 2.4 GHz",3.48,0.27,N/A,Universal Serial Bus (USB),Bluetooth,1,0,1,0,,Class 3,Yes,06/05/2024,05/31/2024,"United States, Canada",ES_21829_DP-9861_05312024104949_4827085
3542817,Cisco Systems,CISCO,DP-9871,DP-9871,"DP-9871NR,DP-9871NR,",,Voice over Internet Protocol (VoIP),Corded,,"IEEE 802.11g, 2.4 GHz,IEEE 802.11n, 5 GHz,IEEE 802.11a, 5 GHz,IEEE 802.11ac, 5 GHz,IEEE 802.11b, 2.4 GHz,IEEE 802.11n, 2.4 GHz",3.5,0.27,N/A,Universal Serial Bus (USB),Bluetooth,1,0,1,0,,Class 4,Yes,06/05/2024,05/30/2024,"United States, Canada",ES_21829_DP-9871_05302024164047_6282937
