ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,UPC,Product Type,Max Nameplate Output Current (A),Input Voltage (V),Maximum Output Power (kW),Number of Outputs,Maximum Output Cord Length (ft.),Output Cord Gauge (AWG),"Screen Area, if EVSE has high res display (in2)",Maximum (100%) Measured Luminance of the High Res Display (candelas per m2),Automatic Brightness Control (ABC) Capable?,Connected Capable,DR Protocol,Connects Using,Protocols Used to Support Smart Charging,Network Security Standards,Is Broadband Internet Connection Needed for Demand Response?,Auxiliary Product Features,Product Features,Network Capability,Network Connection Types Available,No Vehicle Mode Input Power (watts),No Vehicle Mode Total Allowance (watts),No Vehicle Mode Power Factor,Partial On Mode Input Power (watts),Partial On Mode Total Allowance (watts),Partial On Mode Power Factor,Idle Mode Input Power (watts),Idle Mode Total Allowance (watts),Idle Mode Power Factor,Full Current Operation Mode Test: Total Loss (watts),30 A Operation Mode Test: Total Loss (watts),15 A Operation Mode Test: Total Loss (watts),4 A Operation Mode Test: Total Loss (watts),Dual Input Level 2: No Vehicle Mode Input Power (watts),Dual Input No Vehicle Mode Total Allowance (watts),Dual Input Level 2: No Vehicle Mode Power Factor,Dual Input Level 2: Partial On Mode Input Power (watts),Dual Input Partial On Mode Total Allowance (watts),Dual Input Level 2:  Partial On Mode Power Factor,Dual Input Level 2:  Idle Mode Input Power (watts),Dual Input Idle Mode Total Allowance (watts),Dual Input Level 2:  Idle Mode Power Factor,Dual Input Level 2: Full Current Operation Mode Test: Total Loss (watts),Dual Input Level 2: 30 A Operation Mode Test: Total Loss (watts),Dual Input Level 2: 15 A Operation Mode Test: Total Loss (watts),Dual Input Level 2: 4 A Operation Mode Test: Total Loss (watts),Date Available on Market,Date Certified,Markets,CB Model Identifier
2405314,CyberSwitchingPatents LLC dba CYBER SWITCHING,CYBER SWITCHING,CSE1-WIFI-BL,CSE1-WIFI-BL,",CSE1-4G-BL,",00196852311255,Level 2,48,240,11.52,1,22,7,,,No,Yes,"Open Charge Point Protocol (OCPP),OpenADR",,SAE J1772,"OpenADR,Payment Card Industry Self-Assessment",No,,,Yes,"Wi-Fi or Gigabit Ethernet,Cellular",3.17,3.6,0.26,3.45,3.6,0.29,3.49,22.8,0.31,3.61,3.67,3.66,3.65,,,,,,,,,,,,,,12/06/2022,12/06/2022,"United States, Canada",ES_1148511_CSE1-WIFI-BL;CSE1-4G-BL_11212022135717_7648126
2911619,Delta Electronics Inc.,GM,PowerUp,EIAW-U11KSSU7E01,,,Level 2,48,240,11.52,1,25,8,0,,No,,,,,,,,,Yes,"Wi-Fi or Gigabit Ethernet,Cellular",3.51,5,0.27,3.54,5,0.27,7.56,24.2,0.39,165,,,,,,,,,,,,,,,,,12/19/2023,12/19/2023,"United States, Canada",ES_1019376_EIAW-U11KSSU7E01_12182023145934_649225
3398285,Delta Electronics Inc.,Delta,AC MAX Smart,EIAW-U11KSSU7AAA,,,Level 2,48,240,11.52,1,25,8,0,,No,,,,,,,,,Yes,"Wi-Fi or Gigabit Ethernet,Cellular",5.67,7,0.09,5.73,7,0.09,6.2,26.2,0.1,89.72,40.02,16.66,7.8,,,,,,,,,,,,,,02/07/2024,02/07/2024,"United States, Canada",ES_1019376_EIAW-U11KSSU7AAA_02062024152306_7730981
3388089,"Deltran USA, LLC","Deltran Battery Tender,                          ,",022-3019-XX-XX,022-3019-XX-XX,",022-3018-XX-XX,; ,022-3022-XX-XX,; ,022-3023-XX-XX,",,Level 2,48,240,11.52,1,25,8,7.93,230.1,No,,,,,,,Radio Frequency Identification (RFID),,Yes,Wi-Fi or Gigabit Ethernet,4.6,7.38,0.36,3.76,7.38,0.35,8.69,26.58,0.41,20.2,20.2,19.2,19.5,,,,,,,,,,,,,,01/04/2024,01/04/2024,"United States, Canada",ES_1150039_022-3019-XX-XX_01252024005621_530053
3388090,"Deltran USA, LLC","Deltran Battery Tender,                          ,",022-3017-XX-XX,022-3017-XX-XX,",022-3016-XX-XX,; ,022-3020-XX-XX,; ,022-3021-XX-XX,",,Level 1/Level 2 Dual Input,32,240,7.68,1,25,10,,,No,,,,,,,,,Yes,Wi-Fi or Gigabit Ethernet,1.85,5,0.28,1.93,5,0.29,4.69,17.8,0.37,9.6,9.8,11,11.5,1.42,5,0.38,1.52,5,0.38,3.68,11.4,0.45,-7.6,,-7.7,8,01/04/2024,01/04/2024,"United States, Canada",ES_1150039_022-3017-XX-XX_01252024001023_174981
2389344,Dropcases Ltd. DBA Lectron,Lectron,EVCharge 14-50-32A,EVCharge 14-50-32A,,,Level 2,32,220,7.04,1,19,10,0.67,36.82,No,,,,,,,,,No,None,1.87,2.72,0.26,1.99,2.72,0.27,2.04,15.52,0.27,62,52,22,5,,,,,,,,,,,,,,12/15/2021,12/15/2021,"United States, Canada",ES_1146737_EVCharge 14-50-32A_11302021183450_5297510
2397743,Dropcases Ltd. DBA Lectron,Lectron,EV-Charger40A-1450N,EV-Charger40A-1450N,,,Level 2,40,240,9.6,1,16,9,1.52,116,No,,,,,,,,,No,None,1.29,2.81,0.22,1.53,2.81,0.24,4.84,18.81,0.41,90,64,18,22,,,,,,,,,,,,,,06/23/2022,06/23/2022,"United States, Canada",ES_1146737_EV-Charger40A-1450N_06202022130737_6878778
2399138,Dropcases Ltd. DBA Lectron,Lectron,V-BOX,V-BOX,,,Level 2,48,240,11.52,1,16,7,5.71,3.07,No,,,,,,,,,No,None,2.87,3.2,0.28,2.91,3.2,0.28,8.8,22.4,0.43,122,64,29,20,,,,,,,,,,,,,,07/22/2022,07/22/2022,"United States, Canada",ES_1146737_V-BOX_07192022130216_5982629
2667884,Dropcases Ltd. DBA Lectron,Lectron,LECHG5-15-15 ABLKUS,LECHG5-15-15 ABLKUS,,,Level 1,15,120,1.8,1,16,12,,,No,,,,,,,,,No,None,1.11,4,0.22,1.16,4,0.22,2.9,10,0.4,29,,29,5,,,,,,,,,,,,,,09/14/2023,09/14/2023,"United States, Canada",ES_1146737_LECHG5-15-15 ABLKUS_09132023100031_6784631
2668244,Dropcases Ltd. DBA Lectron,Lectron,LECHG14-50-40ABLKUS,LECHG14-50-40ABLKUS,,,Level 2,40,240,9.6,1,16,8,,,No,,,,,,,,,No,None,0.83,4,0.08,0.95,4,0.08,3.34,20,0.12,94,51,16,3,,,,,,,,,,,,,,09/26/2023,09/26/2023,"United States, Canada",ES_1146737_LECHG14-50-40ABLKUS_09252023100430_2118341
2405303,EATON CORPORATION,EATON,Green Motion EV Charger,GMEV80CME1B-WC,"Green Motion EV Charger,GMEV80CMC1B-WC,; Green Motion EV Charger,GMEV80CMC1B-WCS,; Green Motion EV Charger,GMEV80CME1B-WCS,",621037008724;621037008731;786689728731;786689728748,Level 2,80,240,19.2,1,25,6,7.93,,No,,,,,,,,,Yes,"Wi-Fi or Gigabit Ethernet,Cellular",3.55,4.43,0.3,3.6,4.43,0.3,6.54,36.43,0.33,37.7,20,18.3,18,,,,,,,,,,,,,,03/09/2023,03/09/2023,"United States, Canada",ES_1147229_GMEV80CME1B-WCGMEV80CMC1B-WC_11242022110557_9516717
2405304,EATON CORPORATION,EATON,Green Motion EV Charger,GMEV40CME1B-WC,"Green Motion EV Charger,GMEV40CMC1B-WC,; Green Motion EV Charger,GMEV40CMC1B-WCS,; Green Motion EV Charger,GMEV40CME1B-WCS,",21037008717;621037008700;786689728717;786689728724,Level 2,40,240,9.6,1,25,8,7.93,,No,,,,,,,,,Yes,"Wi-Fi or Gigabit Ethernet,Cellular",3.43,4.43,0.31,3.47,4.43,0.31,4.23,20.43,0.31,16.4,13.9,11.8,11.3,,,,,,,,,,,,,,03/09/2023,03/09/2023,"United States, Canada",ES_1147229_GMEV40CME1B-WCGMEV40CMC1B-WC_11242022105740_9260217
2406893,EATON CORPORATION,EATON,"Green Motion EV Chargers, Wall Charger",GMEV32BR-WC,"Green Motion EV Chargers:Wall charger, Wall charger plug-in BR Direct Connect Kit, BAB Direct Connect Kit, BRDirect Connect Kit with Junction Box, BAB Direct Connect Kit with Junction Box,GMEV32BR-WCPL,GMEV32BR-DC,GMEV32BAB-DC, GMEV32BR-JB,GMEV32BAB-JB,",786689667610;786689667627;786689667634;786689667641;786689667658;786689667665,Level 2,32,240,7.68,1,25,10,,,No,No,,Wi-Fi,,,No,,,Yes,Wi-Fi or Gigabit Ethernet,2.99,3.6,0.43,2.66,3.6,0.44,3.01,16.4,0.43,-99.99,-87.87,-17.84,4.7,,,,,,,,,,,,,,02/13/2023,02/13/2023,"United States, Canada",ES_1147229_GMEV32BR-WC_01132023183505_1010101
2508138,EATON CORPORATION,EATON,Green Motion EV Charger,GMEV80CMC1B-XXX,,,Level 2,80,240,19.2,1,25,6,7.93,,No,,,,,,,,,Yes,"Wi-Fi or Gigabit Ethernet,Cellular",2.73,4.43,0.29,2.75,4.43,0.29,5.13,36.43,0.31,45.6,33.8,24.1,9.6,,,,,,,,,,,,,,06/07/2023,06/07/2023,"United States, Canada",ES_1147229_GMEV80CMC1B-XXX_05122023174455_1635248
2508139,EATON CORPORATION,EATON,Green Motion EV Charger,GMEV80CME1B-XXX,,,Level 2,80,240,19.2,1,25,6,7.93,,No,,,,,,,,,Yes,Wi-Fi or Gigabit Ethernet,2.44,4.43,0.28,2.46,4.43,0.28,5.05,36.43,0.31,43.4,30.7,23,7.2,,,,,,,,,,,,,,06/07/2023,06/07/2023,"United States, Canada",ES_1147229_GMEV80CME1B-XXX_05082023183927_736200
2683755,EATON CORPORATION,EATON,Green Motion EV Charger,GMEV80CME1-WC,"GMEV80CMC1-WC,GMEV80CMC1-WC,",786689728694;786689728700,Level 2,80,240,19.2,1,25,6,10.84,280,No,Yes,Open Charge Point Protocol (OCPP),"Wi-Fi,Wired Ethernet",SAE J1772,,,,,Yes,"Wi-Fi or Gigabit Ethernet,Cellular",6.68,9.7,0.39,6.74,9.7,0.38,13.8,41.7,0.48,216,52,25.4,15.4,,,,,,,,,,,,,,09/29/2023,09/29/2023,"United States, Canada",ES_1147229_GMEV80CME1-WC_08112023050800_0000001
2839451,EATON CORPORATION,EATON,Green Motion EV Charger,GMEV80CIE1B-WC,"Green Motion EV Charger,GMEV80CIC1B-WC,",,Level 2,80,240,19.2,1,25,6,7.94,500,No,,,,,,,"High Resolution Display,PLC Board (ISO 15118),Radio Frequency Identification (RFID)",,Yes,"Wi-Fi or Gigabit Ethernet,Cellular",3.1,8.46,0.29,3.15,8.46,0.3,5.74,40.46,0.32,27.7,21.8,21.8,21.5,,,,,,,,,,,,,,12/12/2023,12/12/2023,"United States, Canada",ES_1147229_GMEV80CIE1B-WC_11222023165737_8963586
3531010,"Longhorn Intelligent Tech Co., Ltd",Longhorn,ECA-NH4806S-**##,ECA-NH4806S-**##,",ECA-NH3206S-**##.,; ,ECA-NH4006S-**##,",,Level 2,48,240,11.52,1,25,8,,,No,,,,,,,Radio Frequency Identification (RFID),,Yes,"Wi-Fi or Gigabit Ethernet,Cellular",2.83,6.5,0.25,2.63,6.5,0.23,3.28,25.7,0.25,8.23,11.88,12.59,13.1,,,,,,,,,,,,,,05/23/2024,05/23/2024,"United States, Canada",ES_1149087_ECA-NH4806S-**##_01302024150935_9029809
2359323,Loop Inc.,Loop Global Inc,EVS-32A-L2-001,EVS-32A-L2-001,",EVS-32A-L2-002,",,Level 2,32,240,7.68,1,25,10,,,No,,,,,,,,,Yes,Wi-Fi or Gigabit Ethernet,3.48,3.6,0.25,3.53,3.6,0.25,6.03,16.4,0.3,82.49,73.92,22.25,6.96,,,,,,,,,,,,,,05/03/2020,05/03/2020,United States,ES_1144467_EVS-32A-L2-001_05042020161546_8946783
2383711,Loop Inc.,Loop Global Inc,EVS-80A-L2-001,EVS-80A-L2-001,",EVS-80A-L2-002,",,Level 2,80,240,19.2,1,24,6,,,No,No,,,,,,,,Yes,Wi-Fi or Gigabit Ethernet,3.53,3.6,0.26,3.52,3.6,0.27,7.98,35.6,0.36,200.02,33.07,13.1,7.12,,,,,,,,,,,,,,08/25/2021,08/25/2021,United States,ES_1144467_EVS-80A-L2-001_082320211301618_2720381
2403877,Loop Inc.,Loop Global Inc,EVS-40A-L2-001,EVS-40A-L2-001,",EVS-40A-L2-002,",,Level 2,40,240,9.6,1,25,10,,,No,No,,,,,,,,Yes,Wi-Fi or Gigabit Ethernet,3.43,3.6,0.26,3.55,3.6,0.27,6.1,19.6,0.34,133.45,76.65,22.54,5.49,,,,,,,,,,,,,,10/31/2022,10/31/2022,"United States, Canada",ES_1144467_EVS-40A-L2-001_102520221802300_5398595
3531097,"Micro-Star International Co., Ltd.",MSI,MS-XP01,MS-XP01,"MS-XP01 32A,MS-XP01 32A,",824142367155,Level 2,60,240,14.4,1,25,6,22.32,146,No,,,,,,,"High Resolution Display,Radio Frequency Identification (RFID)",,Yes,Wi-Fi or Gigabit Ethernet,8.64,8.8,0.3,8.59,8.8,0.32,7.95,32.8,0.29,15.36,10.38,10.42,10.8,,,,,,,,,,,,,,05/27/2024,05/27/2024,"United States, Canada",ES_1047644_MS-XP01_051420240306670_8099257
3463025,"Ningbo EverFlourish Smart Technology Corp., Ltd.",DeWalt,DXPAEV040,DXPAEV040,,,Level 2,40,240,9.6,1,25,8,,,No,,,,,,,,,Yes,Wi-Fi or Gigabit Ethernet,3.35,5,0.08,3.39,5,0.08,7.59,21,0.17,80.95,48.74,17.87,8.52,,,,,,,,,,,,,,04/29/2024,04/29/2024,"United States, Canada",ES_1149960_DXPAEV040_04282024092117_6566736
3463026,"Ningbo EverFlourish Smart Technology Corp., Ltd.",DeWalt,DXPAEV048,DXPAEV048,,,Level 2,48,240,11.52,1,25,8,,,No,,,,,,,,,Yes,Wi-Fi or Gigabit Ethernet,3.34,5,0.08,3.39,5,0.08,7.66,24.2,0.17,116.06,47.68,17.9,8.63,,,,,,,,,,,,,,04/29/2024,04/29/2024,"United States, Canada",ES_1149960_DXPAEV048_04282024092854_7518731
2353004,Nuvve Corporation,NUVVE POWERPORT,POWERPORT,EVSE-B-P1-H1,,,Level 1/Level 2 Dual Input,80,240,19.2,1,20,2,,,No,,,,,,,,,Yes,Wi-Fi or Gigabit Ethernet,3.11,3.6,0.96,3.17,3.6,0.97,3.2,10,0.94,15.08,,14.41,5.69,3.37,3.6,0.72,3.42,3.6,0.72,3.46,35.6,0.72,-266.79,-41.36,-14.76,6.37,01/08/2020,01/08/2020,"United States, Canada",ES_1144133_EVSE-B-P1-H1_01082020102005_1010101
2404557,"OpConnect, Inc",OpConnect,OC-IC3-32A-H,OC-IC3-32A-H,",OC-SC3-32A-N,",,Level 2,32,240,7.68,1,25,10,,,No,,,,,,,,,Yes,Wi-Fi or Gigabit Ethernet,3.48,3.6,0.25,3.53,3.6,0.25,6.03,16.4,0.3,82.49,73.92,22.25,6.95,,,,,,,,,,,,,,11/15/2022,11/15/2022,"United States, Canada",ES_1142443_OC-IC3-32A-H_111120221950863_2315457
3436207,"OpConnect, Inc",OpConnect Inc,IC80,IC80,",SC80,",,Level 2,80,240,19.2,1,24,6,,,No,No,,,,,,,,Yes,Wi-Fi or Gigabit Ethernet,3.53,3.6,0.26,3.52,3.6,0.27,7.98,35.6,0.36,200.11,33.07,13.1,7.12,,,,,,,,,,,,,,04/11/2024,04/11/2024,"United States, Canada",ES_1142443_IC80_040520241823943_1663518
2788121,Parassol IoT LLC dba Parasol Elite Power,Parasol Elite Power,UEVC1L-4810-RLW-PEP,UEVC1L-4810-RLW-PEP,",UEVC1L-3210-RLW-PEP.,; ,UEVC1L-4010-RLW-PEP,",,Level 2,48,240,11.52,1,15,8,,,No,,,,,,,Radio Frequency Identification (RFID),,Yes,Wi-Fi or Gigabit Ethernet,4.55,6.5,0.32,4.03,6.5,0.3,5.96,25.7,0.34,63.1,41.3,14,4.8,,,,,,,,,,,,,,10/31/2023,10/31/2023,"United States, Canada",ES_1149823_UEVC1L-4810-RLW-PEP_11172023222904_2681695
2389562,"PHIHONG TECHNOLOGY CO.,LTD.",PHIHONG,ELECTRIC,AXLU111001D,",AXLU111001W,",,Level 2,48,240,11.52,1,18,7,10.77,295.2,No,,,Wi-Fi,SAE J1772,,No,,,Yes,"Wi-Fi or Gigabit Ethernet,Cellular",1.21,4.81,0.33,4.27,4.81,0.33,6.53,24,0.37,10,4,2,1,,,,,,,,,,,,,,12/06/2021,12/06/2021,United States,ES_1145794_AXLU111001D_121520211800_1010101
2395767,"PHIHONG TECHNOLOGY CO.,LTD.",noodoe,ELECTRIC VEHICLE SUPPLY EQUIPMENT,AC11P,",AC11P Exceed,",,Level 2,48,240,11.52,1,18,7,10.77,295.2,No,,,,,,,,,Yes,"Wi-Fi or Gigabit Ethernet,Cellular",4.27,4.81,0.33,4.27,4.27,0.33,6.53,24.89,0.36,10,4,2,1,,,,,,,,,,,,,,05/03/2022,05/03/2022,United States,ES_1145794_AC11P_05112022161152_1010101
3543470,PointGuard Energy Inc.,PointGuard,PG EVAC 9.6 WI T1 N6 WH,PG EVAC 9.6 WI T1 N6 WH,,,Level 2,40,240,9.6,1,25,10,,,No,,,,,,,None,,Yes,Wi-Fi or Gigabit Ethernet,1.97,5,0.1,2.47,5,0.12,2.98,21,0.14,153,91,30,4,,,,,,,,,,,,,,06/12/2024,06/12/2024,"United States, Canada",ES_1150725_PG EVAC 9.6 WI T1 N6 WH_06042024100151_8789789
3543481,PointGuard Energy Inc.,PointGuard,PG EVAC 9.6 WI TS N6 WH,PG EVAC 9.6 WI TS N6 WH,,,Level 2,40,240,9.6,1,25,10,,,No,,,,,,,None,,Yes,Wi-Fi or Gigabit Ethernet,2.19,5,0.12,2.44,5,0.13,3.08,21,0.16,132,50,23,7,,,,,,,,,,,,,,06/13/2024,06/13/2024,"United States, Canada",ES_1150725_PG EVAC 9.6 WI TS N6 WH_06122024111111_5992853
3543482,PointGuard Energy Inc.,PointGuard,PG EVAC 9.6 WI T1 N14 WH,PG EVAC 9.6 WI T1 N14 WH,,,Level 2,40,240,9.6,1,25,10,,,No,,,,,,,None,,Yes,Wi-Fi or Gigabit Ethernet,1.97,5,0.1,2.47,5,0.12,2.98,21,0.14,153,91,30,4,,,,,,,,,,,,,,06/13/2024,06/13/2024,"United States, Canada",ES_1150725_PG EVAC 9.6 WI T1 N14 WH_06042024173058_9350244
3543483,PointGuard Energy Inc.,PointGuard,PG EVAC 9.6 WI TS N14 WH,PG EVAC 9.6 WI TS N14 WH,,,Level 2,40,240,9.6,1,25,10,,,No,,,,,,,None,,Yes,Wi-Fi or Gigabit Ethernet,2.19,5,0.12,2.44,5,0.13,3.08,21,0.16,132,50,23,7,,,,,,,,,,,,,,06/13/2024,06/13/2024,"United States, Canada",ES_1150725_PG EVAC 9.6 WI TS N14 WH_06062024161559_6621515
3543484,PointGuard Energy Inc.,PointGuard,PG EVAC 11.5 WI T1 WH,PG EVAC 11.5 WI T1 WH,,,Level 2,48,240,11.52,1,25,9,,,No,,,,,,,None,,Yes,Wi-Fi or Gigabit Ethernet,2.2,5,0.08,2.62,5,0.09,3.23,24.2,0.12,198,84,26,4,,,,,,,,,,,,,,06/13/2024,06/13/2024,"United States, Canada",ES_1150725_PG EVAC 11.5 WI T1 WH_06122024132801_5844079
3543485,PointGuard Energy Inc.,PointGuard,PG EVAC 11.5 WI TS WH,PG EVAC 11.5 WI TS WH,,,Level 2,48,240,11.52,1,25,9,,,No,,,,,,,None,,Yes,Wi-Fi or Gigabit Ethernet,2.15,5,0.12,2.63,5,0.14,3.16,24.2,0.17,164,68,19,5,,,,,,,,,,,,,,06/13/2024,06/13/2024,"United States, Canada",ES_1150725_PG EVAC 11.5 WI TS WH_06122024135050_5174066
3391666,"PortFi, LLC",PortFi,PORTFI40A@240V/RF/4G,PORTFI40A@240V/RF/4G,,,Level 2,40,240,9.6,1,25,8,,,No,,,,,,,Radio Frequency Identification (RFID),,Yes,"Wi-Fi or Gigabit Ethernet,Cellular",1.98,6.5,0.26,2.04,6.5,0.26,2.26,22.5,0.24,13,12,11.3,10.9,,,,,,,,,,,,,,02/05/2024,02/05/2024,"United States, Canada",ES_1150094_PORTFI40A@240VRF/4G_01312024224009_6789514
2853517,EATON CORPORATION,EATON,Green Motion EV Charger,GMEV40CIE1B-WC,"Green Motion EV Charger,GMEV40CIC1B-WC,",,Level 2,40,240,9.6,1,25,9,7.94,500,No,,,,,,,"High Resolution Display,PLC Board (ISO 15118),Radio Frequency Identification (RFID)",,Yes,"Wi-Fi or Gigabit Ethernet,Cellular",3,8.46,0.29,3.09,8.46,0.3,3.5,24.46,0.3,14.3,13.8,12.9,12.4,,,,,,,,,,,,,,12/14/2023,12/14/2023,"United States, Canada",ES_1147229_GMEV40CIE1B-WC_11222023144546_5557214
3417912,EATON CORPORATION,EATON,Green Motion Building Pro,GMEV48CMC1-WC,"Green Motion Building Pro,GMEV48CME1-WC,",786689728670;786689728687,Level 2,48,240,11.52,1,25,9,10.84,280,No,Yes,Open Charge Point Protocol (OCPP),"Wi-Fi,Wired Ethernet,4G Cellular",SAE J1772,,,,,Yes,"Wi-Fi or Gigabit Ethernet,Cellular",4.64,9.7,0.46,5.05,9.7,0.39,9.72,28.9,0.46,167.2,80,30.3,15.2,,,,,,,,,,,,,,03/12/2024,03/12/2024,"United States, Canada",ES_1147229_GMEV48CMC1-WC_03062024123600_0000001
2853516,Electric Avenue Manufacturing,Electric Avenue Manufacturing,EAWPLT48-25WI1HWXX,EAWPLT48-25WI1HWXX,,,Level 2,48,240,11.52,1,25,8,,,No,,,,,,,Radio Frequency Identification (RFID),,Yes,Wi-Fi or Gigabit Ethernet,1.42,6.5,0.22,1.48,6.5,0.23,1.99,25.7,0.22,70.91,58.59,44.13,23.92,,,,,,,,,,,,,,12/14/2023,12/14/2023,"United States, Canada",ES_1149856_EAWPLT48-25WI1HWXX_12122023192110_8956109
2372692,"Electrify America, LLC.",ELECTRIFY AMERICA LLC,EA2R040JPA10-00,EA2R040JPA10-00,,,Level 2,40,240,9.6,1,25,10,,,No,,,,,,,,,Yes,Wi-Fi or Gigabit Ethernet,3.5,3.6,0.27,3.41,3.6,0.26,6.19,19.6,0.4,91.49,53.92,17.96,7.17,,,,,,,,,,,,,,01/27/2021,01/27/2021,"United States, Canada",ES_144775_EA2R040JPA10-00_012720211401623_1644208
2381297,"Electrify Canada, L.P.",ELECTRIFY CANADA LP,EC2R040JPA10-00,EC2R040JPA10-00,,,Level 2,40,240,9.6,1,25,10,,,No,,,,,,,,,Yes,Wi-Fi or Gigabit Ethernet,3.5,3.6,0.27,3.41,3.6,0.26,6.19,19.6,0.4,91.49,53.92,17.96,4.5,,,,,,,,,,,,,,06/29/2021,06/29/2021,Canada,ES_1146212_EC2R040JPA10-00_06292021113408_8981599
2829068,Electron Charger,Electron Charger,EC-EVC10/48AC/01C/XX/RF/4G,EC-EVC10/48AC/01C/XX/RF/4G,,,Level 2,48,240,11.52,1,18,7,7.93,,No,,,,,,,,,Yes,"Wi-Fi or Gigabit Ethernet,Cellular",3.78,4.43,0.28,3.84,4.43,0.29,5.23,23.63,0.33,78.9,33.7,10.5,4,,,,,,,,,,,,,,04/19/2022,04/19/2022,"United States, Canada",ES_1149054_EC-EVC10/48AC/01C/XX/RF/4G_11302023174136_79919
2397026,Emporia Corp.,Emporia Corp,EMEVSE1,EMEVSE1,",,White; ,EMEVSE1-B,Black; ,EMEVSE1-C,Red; ,EMEVSE1-D,Dark Gray; ,EMEVSE1-E,Light Gray; ,EMEVSE1-F,Dark Green; ,EMEVSE1-G,Light Green; ,EMEVSE1-H,Olive Green; ,EMEVSE1-I,Camouflage; ,EMEVSE1-J,Yellow; ,EMEVSE1-K,Dark Blue; ,EMEVSE1-L,Light Blue; ,EMEVSE1-M,Orange; ,EMEVSE1-N,Brown",,Level 2,48,240,11.52,1,25,6,,,No,No,,,,,,,,Yes,Wi-Fi or Gigabit Ethernet,2.81,3.6,0.37,2.94,3.6,0.37,5.03,22.8,0.45,136.72,56.29,18.07,5.93,,,,,,,,,,,,,,05/31/2022,05/31/2022,"United States, Canada",ES_1147498_EMEVSE1_051920222322829_6257817
2354211,"Enel X Way USA, LLC","Enel X Way USA, LLC",2JBO401RNA-PJWX-200,2JBO401RNA-PJWX-200,",2JBO321RNA-HJWX-200,; ,2JBO321RNA-HJWX-222,; ,2JBO321RNA-HJWX-300,; ,2JBO321RNA-HJWX-322,; ,2JBO321RNA-PJWX-222,; ,2JBO321RNA-PJWX-223,; ,2JBO321RNA-PJWX-322,; ,2JBO321RNA-PJWX-323,; ,2JBO321RNA-QJWX-200,; ,2JBO321RNA-QJWX-222,; ,2JBO321RNA-QJWX-300,; ,2JBO321RNA-QJWX-322,; ,2JBO401CNA-HJWR-200,; ,2JBO401CNA-HJWR-300,; ,2JBO401CNA-PJWR-200,; ,2JBO401CNA-PJWR-300,; ,2JBO401RNA-HJWX-222,; ,2JBO401RNA-HJWX-322,; ,2JBO401RNA-PJWX-222,; ,2JBO401RNA-PJWX-225,; ,2JBO401RNA-PJWX-300,; ,2JBO401RNA-PJWX-322,; ,2JBO401RNA-PJWX-325,; ,2JBO401RNA-QJWX-200,; ,2JBO401RNA-QJWX-222,; ,2JBO401RNA-QJWX-300,; ,2JBO401RNA-QJWX-322,; ,2JBX321AJ,; ,2JBX401AJ,",,Level 2,40,240,9.6,1,25,8,,,No,Yes,Open Charge Point Protocol (OCPP),Wi-Fi,SAE J1772,NIST Cybersecurity Framework,Yes,,"Model is portable,Smart Home Energy Management System (SHEMS) compatibility,Battery storage integration capability,PV integration capability",Yes,Wi-Fi or Gigabit Ethernet,1.57,3.6,0.15,1.19,3.6,0.12,1.71,19.6,0.17,109.79,63.48,16.85,2.98,,,,,,,,,,,,,,08/25/2021,08/25/2021,"United States, Canada",ES_1142078_2JBO401RNA-PJWX-200_01272020145355_6835709
2361099,"Enel X Way USA, LLC","Enel X Way USA, LLC",2JBO481RNA-HBWX-200,2JBO481RNA-HBWX-200,",2JBC48,; ,2JBO481CNA-HBWR-200,; ,2JBO481CNA-HBWR-300,; ,2JBO481RNA-HBWX-300,; ,2JBO481RNA-HKWX-200,; ,2JBR48,",,Level 2,48,240,11.52,1,25,6,,,No,Yes,Open Charge Point Protocol (OCPP),Wi-Fi,SAE J1772,NIST Cybersecurity Framework,Yes,,Model is portable,Yes,Wi-Fi or Gigabit Ethernet,1.66,3.6,0.16,1.32,3.6,0.13,1.9,22.8,0.19,78.26,31.07,9.25,2.4,,,,,,,,,,,,,,09/12/2023,09/12/2023,United States,ES_1142078_2JBz481RNA-HBWX-200_06012020212124_6484192
2382572,"Enel X Way USA, LLC","Enel X Way USA, LLC",2JBX481AJ-001,2JBX481AJ-001,",2JBX321AJ-001 2JBX401AJ-001,",,Level 2,48,240,11.52,1,24,8,,,No,Yes,,,,,,,,Yes,Cellular,3.53,4.6,0.27,2.88,4.6,0.24,3.67,23.8,0.23,128.78,49.38,12.21,0.88,,,,,,,,,,,,,,07/23/2021,07/23/2021,"United States, Canada",ES_1142078_2JBX481AJ-001_072320211122330_9326570
2408405,"Enel X Way USA, LLC","Enel X Way USA, LLC",2JBX401AJ,2JBX401AJ,",2JBC32,; ,2JBC40,; ,2JBR32,; ,2JBR40,; ,2JBX321AJ,",,Level 2,40,240,9.6,1,10,10,,,No,No,,,,,,,,Yes,Wi-Fi or Gigabit Ethernet,2.39,3.6,0.22,2.25,3.6,0.21,3.14,19.6,0.27,115.2,63.92,18.17,4.2,,,,,,,,,,,,,,09/13/2023,09/13/2023,United States,ES_1142078_2JBX401AJ_021020231927382_2352189
